x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[428]PhosphoHexNAc,α-helix,3,21,45875,88099,0.2743448812767614,0.04241875492793106,0.12917195049021588
[429]PhosphoHex,α-helix,3,23,45875,88097,0.25048311811396756,0.025560190594393215,0.08742326058372173
[431]Palmitoleyl,α-helix,1,23,45877,88097,0.08349073278170079,0.003854486065421151,0.02492215647779155
[434]CHDH,bend,5,59,10621,123313,0.9839237583361393,1.0,1.0
[434]CHDH,turn,5,59,16019,117915,0.6238090149303634,0.4066753557634596,0.600322585047604
[434]CHDH,unassigned,30,34,22207,111727,4.439260010754426,2.2283867653198442e-10,9.561805029372423e-09
[434]CHDH,ß-strand,2,62,23814,110120,0.14916679535215122,0.0037006070407117164,0.02460121863684409
[434]CHDH,α-helix,15,49,45863,88071,0.5878488150378657,0.09110729026020442,0.20759104968822759
[435]Methylpyrroline,α-helix,4,20,45874,88100,0.38409556611588264,0.1097835427792585,0.2364496672398985
[438]Cyano,α-helix,11,14,45867,88106,1.5092799367114234,0.41335771216201556,0.600322585047604
[440]Amidino,turn,5,48,16019,117926,0.7668367771604553,0.7227395838014276,0.8555342570192349
[440]Amidino,unassigned,11,42,22226,111719,1.3164644153351073,0.5290224112852409,0.7195924441689732
[440]Amidino,ß-strand,13,40,23803,110142,1.5038503549972693,0.2683231400493989,0.43671904173557335
[440]Amidino,α-helix,15,38,45863,88082,0.7581102528468654,0.44359697923189023,0.6268795634654257
[442]FMN,α-helix,4,15,45874,88105,0.5121564866082458,0.3322737205467955,0.5142072003215983
[445]Hydroxytrimethyl,turn,9,39,16015,117935,1.69939239655131,0.21946447678691625,0.3779767963224062
[445]Hydroxytrimethyl,unassigned,17,31,22220,111730,2.757483812897419,0.000927468944554871,0.008755306836597983
[445]Hydroxytrimethyl,ß-strand,6,42,23810,110140,0.6608267834643307,0.44305013420607675,0.6268795634654257
[445]Hydroxytrimethyl,α-helix,8,40,45870,88080,0.3840418574231524,0.015783404910004576,0.06260308502119462
[447]Deoxy,3₁₀-helix,7,242,6253,127496,0.5897810373334849,0.21418058306772,0.3758112833009808
[447]Deoxy,PPII-helix,8,241,4489,129260,0.9558450393724078,1.0,1.0
[447]Deoxy,bend,28,221,10598,123151,1.472243973293006,0.068704872962746,0.17468511899209532
[447]Deoxy,turn,42,207,15982,117767,1.4951040935545241,0.021914520607784836,0.07964934296424026
[447]Deoxy,unassigned,63,186,22174,111575,1.7043173201977324,0.0003051677427394922,0.004115404987801152
[447]Deoxy,ß-strand,15,234,23801,109948,0.2961198570626746,1.8303074445489123e-06,3.926841426486757e-05
[447]Deoxy,α-helix,72,177,45806,87943,0.7809768093440501,0.08825067028993012,0.20749747036298974
[449]Decanoyl,bend,10,56,10616,123316,2.0742948648939605,0.051902388840208924,0.14488376746947543
[449]Decanoyl,turn,3,63,16021,117911,0.3504656091261172,0.09556447270451388,0.21552957770640943
